%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1651108795791892688,232,1651108795790312602,,0.0,0.0,1.0026157079103715,0.0,0.0,0.0,1.0
1651108795841953836,233,1651108795840340781,,0.0,0.0,1.0024303029691024,0.0,0.0,0.0,1.0
1651108795891452334,234,1651108795890458231,,0.0,0.0,1.0022581446818353,0.0,0.0,0.0,1.0
1651108795941548742,235,1651108795940285007,,0.0,0.0,1.0021002155926886,0.0,0.0,0.0,1.0
1651108795991729264,236,1651108795990274332,,0.0,0.0,1.0019550118939782,0.0,0.0,0.0,1.0
1651108796042251242,237,1651108796040298400,,0.0,0.0,1.001820850120831,0.0,0.0,0.0,1.0
1651108796091619224,238,1651108796090514913,,0.0,0.0,1.0016953780356734,0.0,0.0,0.0,1.0
1651108796141500377,239,1651108796140286849,,0.0,0.0,1.0015769966353316,0.0,0.0,0.0,1.0
1651108796191924648,240,1651108796190321646,,0.0,0.0,1.0014646958311948,0.0,0.0,0.0,1.0
1651108796241625699,241,1651108796240336547,,0.0,0.0,1.0013586829777643,0.0,0.0,0.0,1.0
1651108796292188302,242,1651108796291073576,,0.0,0.0,1.0012574722836463,0.0,0.0,0.0,1.0
1651108796341559982,243,1651108796340305725,,0.0,0.0,1.001165873666085,0.0,0.0,0.0,1.0
1651108796391979150,244,1651108796390292815,,0.0,0.0,1.001079048759965,0.0,0.0,0.0,1.0
1651108796441862802,245,1651108796440310164,,0.0,0.0,1.0009991958905695,0.0,0.0,0.0,1.0
1651108796492117180,246,1651108796490466730,,0.0,0.0,1.000925837136159,0.0,0.0,0.0,1.0
1651108796541421933,247,1651108796540401424,,0.0,0.0,1.0008577518332153,0.0,0.0,0.0,1.0
1651108796591482199,248,1651108796590447158,,0.0,0.0,1.0007939964384915,0.0,0.0,0.0,1.0
1651108796643334475,249,1651108796641702358,,0.0,0.0,1.0007330898272822,0.0,0.0,0.0,1.0
1651108796691577886,250,1651108796690462847,,0.0,0.0,1.0006793513261436,0.0,0.0,0.0,1.0
1651108796741556590,251,1651108796740318166,,0.0,0.0,1.000628189449274,0.0,0.0,0.0,1.0
1651108796791379254,252,1651108796790278433,,0.0,0.0,1.0005804822658342,0.0,0.0,0.0,1.0
1651108796841484988,253,1651108796840285782,,0.0,0.0,1.0005356860942651,0.0,0.0,0.0,1.0
1651108796891591294,254,1651108796890352194,,0.0,0.0,1.0004933169271817,0.0,0.0,0.0,1.0
1651108796941636508,255,1651108796940304752,,0.0,0.0,1.0004532963596489,0.0,0.0,0.0,1.0
1651108796991741200,256,1651108796990303612,,0.0,0.0,1.0004156758088,0.0,0.0,0.0,1.0
1651108797041708552,257,1651108797040550440,,0.0,0.0,1.000380664996581,0.0,0.0,0.0,1.0
1651108797091780695,258,1651108797090712269,,0.0,0.0,1.0003487258873354,0.0,0.0,0.0,1.0
1651108797141427738,259,1651108797140319574,,0.0,0.0,1.0003200936573895,0.0,0.0,0.0,1.0
1651108797191900293,260,1651108797190715880,,0.0,0.0,1.000293511700972,0.0,0.0,0.0,1.0
1651108797243003727,261,1651108797240571671,,0.0,0.0,1.0002693072314768,0.0,0.0,0.0,1.0
1651108797291763489,262,1651108797290334703,,0.0,0.0,1.0002469388546604,0.0,0.0,0.0,1.0
1651108797341416522,263,1651108797340355492,,0.0,0.0,1.0002262992147493,0.0,0.0,0.0,1.0
1651108797391292209,264,1651108797390204565,,0.0,0.0,1.0002075559226185,0.0,0.0,0.0,1.0
1651108797441160031,265,1651108797440219157,,0.0,0.0,1.0001906321273324,0.0,0.0,0.0,1.0
1651108797491340507,266,1651108797490268331,,0.0,0.0,1.0001755545586526,0.0,0.0,0.0,1.0
1651108797541158590,267,1651108797540264433,,0.0,0.0,1.0001623531897552,0.0,0.0,0.0,1.0
1651108797591212660,268,1651108797590205588,,0.0,0.0,1.0001510195884054,0.0,0.0,0.0,1.0
1651108797641106889,269,1651108797640222836,,0.0,0.0,1.0001415329286225,0.0,0.0,0.0,1.0
1651108797691292728,270,1651108797690184303,,0.0,0.0,1.0001339108092324,0.0,0.0,0.0,1.0
